"bldrgstPk","bldNm","sggNm","bjdongNm","beonji","regstrKindNm","mainPurpsNm","strctNm","totarea","flrCnt","platArea","archArea","bcRat","vlRat","etcStrct","etcRoof","pmsDay","stcnsDay","useaprDay"
"11710-19189",,"송파구","송파동","39-11","표제부","다세대주택(9세대)","철근콘크리트구조","477.3","4/1","208.6","118.5","56.8","179.88","벽체식라멘조","평스라브","19930109","19930127","19931208"
"11710-100178563","해리빌","송파구","송파동","39-12","표제부","다세대주택","철근콘크리트구조","362.1","5/0","181.3","108.36","59.77","199.72","철근콘크리트구조","평슬라브","20060126","20080130","20080724"
"11710-5340",,"송파구","송파동","39-13","일반건축물","다가구용단독주택(6가구)","철근콘크리트구조","402.44","3/1","183","109.28","59.71","168.88","철근콘크리트조","평스라브","19971016","19971111","19980828"
"11710-8454",,"송파구","송파동","39-14","일반건축물","다가구용단독주택(7가구)","철근콘크리트구조","386.4","3/1","185.9","110.52","59.45","153.63","철근콘크리트","평스라브","19960625","19970204","19970604"
"11710-100539902","R&B Haus","송파구","송파동","39-15","표제부","다세대주택 및 제2종근린생활시설","철근콘크리트구조","361.08","5/0","195.4","117.01","59.88","184.79","철근콘크리트구조","(철근)콘크리트","20200207","20200413","20201222"
"11710-100468862","케이엠빌","송파구","송파동","39-16","표제부","공동주택(다세대주택)","철근콘크리트구조","330.59","5/0","165.6","99.22","59.91","199.63","철근콘크리트구조","평스라브","20150107","20150325","20150602"
"11710-100469596",,"송파구","송파동","39-17","일반건축물","다가구주택","철근콘크리트구조","326.06","4/0","165.5","99","59.82","167.14199","철근콘크리트구조","평슬라브","20150225","20150303","20150714"
"11710-22693",,"송파구","송파동","39-18","표제부","다세대주택(8가구)","철근콘크리트구조","659.74","4/1","0","0","0","0","철근콘크리트조","평스라브","19910614",,"19911209"
"11710-21097",,"송파구","송파동","39-19","일반건축물","근린생활시설, 주택","철근콘크리트구조","339.66","3/1","176.2","105.3","59.76","140.09","철근콘크리트조, 세멘벽돌조","평스라브","19870930",,"19880217"
"11710-6833",,"송파구","송파동","40","일반건축물","근린생활시설, 주택","철근콘크리트구조","748.07","5/1","271.3","135.3","49.87","230.56","철근콘크리트조, 세멘벽돌조","평스라브","19840507",,"19841006"
"11710-11639","한주하이빌","송파구","송파동","40-1","표제부","공동주택","철근콘크리트구조","658.14","5/0","351.2","177.46","50.53","187.4","철근콘크리트구조","평슬라브","20030507","20030519","20031001"
"11710-100567022","슬로우밀리402","송파구","송파동","40-2","표제부","도시형생활주택","철근콘크리트구조","497.83","6/1","269.1","161.13","59.88","182.86","철근콘크리트구조","(철근)콘크리트","20210312","20210604","20220729"
"11710-21686","대영하이츠빌A동","송파구","송파동","40-3","표제부","공동주택","철근콘크리트구조","584.81","5/0","260.2","155.76","59.86","224.75","철근콘크리트구조","평스라브","20020315","20020826","20030225"
"11710-10343",,"송파구","송파동","40-4","일반건축물","근린생활시설, 단독주택","철근콘크리트구조","638.34","4/1","264.6","137.22","51.86","194.67","철근콘크리트조,  , 경량철골조","샌드위치판넬경사지붕","19840615",,"19841110"
"11710-19163",,"송파구","송파동","40-5","표제부","공동주택(다세대주택)","철근콘크리트구조","475.89","5/0","232.7","138.76","59.63","204.5","철근콘크리트구조","평슬라브","20021030","20030410","20030722"
"11710-20109",,"송파구","송파동","40-7","일반건축물","단독주택","벽돌구조","286.12","2/1","0","0","0","0","연와조","경사스라브위기와","19840407",,"19841026"
"11710-11876",,"송파구","송파동","40-8","일반건축물","단독주택","벽돌구조","298.44","2/1","0","0","0","0","연와조","스라브위기와","19830326",,"19831028"
"11710-100230181",,"송파구","송파동","40-9","표제부","다세대주택","철근콘크리트구조","438.07","5/0","209.3","127.2","60.77","209.3","철근콘크리트구조","평스라브","20091224","20100223","20100726"
"11710-100230133",,"송파구","송파동","40-10","표제부","다세대주택","철근콘크리트구조","406.7","5/0","209.3","124.08","59.28","194.31","철근콘크리트구조","평스라브","20100316","20100327","20100722"
"11710-21463",,"송파구","송파동","40-11","일반건축물","근린생활시설","벽돌구조","249.54","2/1","0","0","0","0","연와조","경사스라브위기와","19830331",,"19830621"
"11710-17215",,"송파구","송파동","40-12","일반건축물","제2종근린생활시설(휴게음식점)","벽돌구조","244.35","2/1","165.24","0","0","0","연와조","경사스라브위기와","19840507",,"19841006"
"11710-16266",,"송파구","송파동","40-13","일반건축물","근린생활시설","일반철골구조","239.07","2/1","165","87.89","53.266666","94.945454","일반철골구조(철골구조)","경사스라브위기와","19840504",,"19840718"
"11710-23394","대영하이츠빌B동","송파구","송파동","40-14","표제부","공동주택","철근콘크리트구조","295.46","5/0","127.8","76.54","59.89","231.19","철근콘크리트구조","평스라브","20020315","20020826","20030225"
"11710-100453527",,"송파구","송파동","41","표제부","다세대주택(11세대)","철근콘크리트구조","405.19","5/0","203.3","121.44","59.73","199.31","철근콘크리트구조","평스라브","20120713","20130307","20130731"
"11710-100469102","진흥하임빌B동","송파구","송파동","41-1","표제부","공동주택(다세대주택)","철근콘크리트구조","317.28","5/0","160.3","95.76","59.74","197.93","철근콘크리트구조","(철근)콘크리트","20141027","20141030","20150619"
